iso_code;continent;location;date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;icu_patients;icu_patients_per_million;hosp_patients;hosp_patients_per_million;weekly_icu_admissions;weekly_icu_admissions_per_million;weekly_hosp_admissions;weekly_hosp_admissions_per_million;total_tests;new_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;total_boosters;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;total_boosters_per_hundred;new_vaccinations_smoothed_per_million;new_people_vaccinated_smoothed;new_people_vaccinated_smoothed_per_hundred;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index;excess_mortality_cumulative_absolute;excess_mortality_cumulative;excess_mortality;excess_mortality_cumulative_per_million
COL;South America;Colombia;2020-04-25;5142.0;261.0;217.286;233.0;8.0;9.571;100.301;5.091;4.238;4.545;0.156;0.187;1.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-26;5379.0;237.0;226.714;244.0;11.0;9.286;104.924;4.623;4.422;4.76;0.215;0.181;1.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;-1167.3;-1.47;-5.22;-22.76954747
COL;South America;Colombia;2020-04-27;5597.0;218.0;231.429;253.0;9.0;9.143;109.176;4.252;4.514;4.935;0.176;0.178;1.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90.74;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-28;5949.0;352.0;257.143;269.0;16.0;10.429;116.042;6.866;5.016;5.247;0.312;0.203;1.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90.74;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-29;6207.0;258.0;264.429;278.0;9.0;10.286;121.075;5.033;5.158;5.423;0.176;0.201;1.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90.74;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-30;6507.0;300.0;278.0;293.0;15.0;11.143;126.927;5.852;5.423;5.715;0.293;0.217;1.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90.74;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-01;7006.0;499.0;303.571;314.0;21.0;12.714;136.66;9.734;5.922;6.125;0.41;0.248;1.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90.74;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-02;7285.0;279.0;306.143;324.0;10.0;13.0;142.102;5.442;5.972;6.32;0.195;0.254;1.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90.74;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-03;7668.0;383.0;327.0;340.0;16.0;13.714;149.573;7.471;6.379;6.632;0.312;0.268;1.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90.74;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;-1526.0;-1.81;-7.71;-29.76640918
COL;South America;Colombia;2020-05-04;7973.0;305.0;339.429;358.0;18.0;15.0;155.523;5.949;6.621;6.983;0.351;0.293;1.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90.74;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-05;8613.0;640.0;380.571;378.0;20.0;15.571;168.007;12.484;7.423;7.373;0.39;0.304;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90.74;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-06;8959.0;346.0;393.143;397.0;19.0;17.0;174.756;6.749;7.669;7.744;0.371;0.332;1.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-07;9456.0;497.0;421.286;407.0;10.0;16.286;184.45;9.695;8.218;7.939;0.195;0.318;1.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-08;10051.0;595.0;435.0;428.0;21.0;16.286;196.056;11.606;8.485;8.349;0.41;0.318;1.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-09;10495.0;444.0;458.571;445.0;17.0;17.286;204.717;8.661;8.945;8.68;0.332;0.337;1.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-10;11063.0;568.0;485.0;463.0;18.0;17.571;215.797;11.08;9.46;9.031;0.351;0.343;1.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;-1732.9;-1.95;-4.41;-33.8022349
COL;South America;Colombia;2020-05-11;11613.0;550.0;520.0;479.0;16.0;17.286;226.525;10.728;10.143;9.343;0.312;0.337;1.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-12;12272.0;659.0;522.714;493.0;14.0;16.429;239.38;12.855;10.196;9.617;0.273;0.32;1.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-13;12930.0;658.0;567.286;509.0;16.0;16.0;252.215;12.835;11.066;9.929;0.312;0.312;1.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-14;13610.0;680.0;593.429;525.0;16.0;16.857;265.479;13.264;11.576;10.241;0.312;0.329;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-15;14216.0;606.0;595.0;546.0;21.0;16.857;277.3;11.821;11.606;10.65;0.41;0.329;1.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-16;14939.0;723.0;634.857;562.0;16.0;16.714;291.403;14.103;12.384;10.962;0.312;0.326;1.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-17;15574.0;635.0;644.429;574.0;12.0;15.857;303.789;12.386;12.57;11.197;0.234;0.309;1.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;-1961.6;-2.09;-4.73;-38.26329505
COL;South America;Colombia;2020-05-18;16295.0;721.0;668.857;592.0;18.0;16.143;317.853;14.064;13.047;11.548;0.351;0.315;1.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-19;16935.0;640.0;666.143;613.0;21.0;17.143;330.337;12.484;12.994;11.957;0.41;0.334;1.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-20;17687.0;752.0;679.571;630.0;17.0;17.286;345.006;14.669;13.256;12.289;0.332;0.337;1.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-21;18330.0;643.0;674.286;652.0;22.0;18.143;357.548;12.542;13.153;12.718;0.429;0.354;1.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-22;19131.0;801.0;702.143;682.0;30.0;19.429;373.172;15.624;13.696;13.303;0.585;0.379;1.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-23;20177.0;1046.0;748.286;705.0;23.0;20.429;393.576;20.403;14.596;13.752;0.449;0.398;1.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-24;21175.0;998.0;800.143;727.0;22.0;21.857;413.043;19.467;15.608;14.181;0.429;0.426;1.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;-2034.9;-2.07;-1.53;-39.69309701
COL;South America;Colombia;2020-05-25;21981.0;806.0;812.286;750.0;23.0;22.571;428.765;15.722;15.845;14.63;0.449;0.44;1.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-26;23003.0;1022.0;866.857;776.0;26.0;23.286;448.7;19.935;16.909;15.137;0.507;0.454;1.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-27;24104.0;1101.0;916.714;803.0;27.0;24.714;470.177;21.476;17.882;15.663;0.527;0.482;1.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-28;25366.0;1262.0;1005.143;822.0;19.0;24.286;494.793;24.617;19.606;16.034;0.371;0.474;1.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-29;26688.0;1322.0;1079.571;853.0;31.0;24.429;520.581;25.787;21.058;16.639;0.605;0.477;1.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-30;28236.0;1548.0;1151.286;890.0;37.0;26.429;550.776;30.196;22.457;17.36;0.722;0.516;1.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-05-31;29383.0;1147.0;1172.571;939.0;49.0;30.286;573.15;22.374;22.872;18.316;0.956;0.591;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;-2074.8;-2.01;-0.83;-40.47139303
COL;South America;Colombia;2020-06-01;30493.0;1110.0;1216.0;969.0;30.0;31.286;594.802;21.652;23.719;18.901;0.585;0.61;1.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-02;31833.0;1340.0;1261.429;1009.0;40.0;33.286;620.94;26.138;24.606;19.682;0.78;0.649;1.28;;;;;;;;;343518.0;;6.701;;;;;;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-03;33354.0;1521.0;1321.429;1045.0;36.0;34.571;650.609;29.669;25.776;20.384;0.702;0.674;1.27;;;;;;;;;356338.0;12820.0;6.951;0.25;;;;;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-04;35120.0;1766.0;1393.429;1087.0;42.0;37.857;685.057;34.448;27.18;21.203;0.819;0.738;1.25;;;;;;;;;;;;;;;;;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-05;36635.0;1515.0;1421.0;1145.0;58.0;41.714;714.608;29.552;27.718;22.335;1.131;0.814;1.22;;;;;;;;;380206.0;;7.416;;;;;;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-06;38027.0;1392.0;1398.714;1205.0;60.0;45.0;741.761;27.153;27.284;23.505;1.17;0.878;1.2;;;;;;;;;394502.0;14296.0;7.695;0.279;;;;;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-07;39236.0;1209.0;1407.571;1259.0;54.0;45.714;765.344;23.583;27.456;24.558;1.053;0.892;1.19;;;;;;;;;405387.0;10885.0;7.908;0.212;;;;;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;-1751.5;-1.62;6.65;-34.16504959
COL;South America;Colombia;2020-06-08;40719.0;1483.0;1460.857;1308.0;49.0;48.429;794.272;28.928;28.496;25.514;0.956;0.945;1.19;;;;;;;;;416415.0;11028.0;8.123;0.215;;;;;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-09;42078.0;1359.0;1463.571;1372.0;64.0;51.857;820.78;26.509;28.549;26.762;1.248;1.012;1.19;;;;;;;;;428845.0;12430.0;8.365;0.242;12190.0;0.238;;;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-10;43682.0;1604.0;1475.429;1433.0;61.0;55.429;852.068;31.288;28.78;27.952;1.19;1.081;1.2;;;;;;;;;440609.0;11764.0;8.595;0.229;12039.0;0.235;0.149;6.7;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-11;45212.0;1530.0;1441.714;1488.0;55.0;57.286;881.913;29.844;28.122;29.025;1.073;1.117;1.21;;;;;;;;;453862.0;13253.0;8.853;0.259;12227.0;0.239;0.151;6.6;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-12;46858.0;1646.0;1460.429;1545.0;57.0;57.143;914.02;32.107;28.487;30.137;1.112;1.115;1.23;;;;;;;;;465850.0;11988.0;9.087;0.234;12235.0;0.239;0.156;6.4;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-13;48746.0;1888.0;1531.286;1592.0;47.0;55.286;950.848;36.828;29.87;31.054;0.917;1.078;1.27;;;;;;;;;477373.0;11523.0;9.312;0.225;11839.0;0.231;0.159;6.3;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-14;50939.0;2193.0;1671.857;1667.0;75.0;58.286;993.625;42.777;32.612;32.517;1.463;1.137;1.3;;;;;;;;;492735.0;15362.0;9.611;0.3;12478.0;0.243;0.165;6.1;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;-1202.0;-1.06;11.38;-23.44641142
COL;South America;Colombia;2020-06-15;53063.0;2124.0;1763.429;1726.0;59.0;59.714;1035.056;41.431;34.398;33.668;1.151;1.165;1.31;;;;;;;;;505235.0;12500.0;9.855;0.244;12689.0;0.248;0.167;6.0;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-16;54931.0;1868.0;1836.143;1801.0;75.0;61.286;1071.493;36.438;35.816;35.131;1.463;1.195;1.32;;;;;;;;;517615.0;12380.0;10.097;0.241;12681.0;0.247;0.175;5.7;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-17;57046.0;2115.0;1909.143;1864.0;63.0;61.571;1112.749;41.256;37.24;36.359;1.229;1.201;1.32;;;;;;;;;532782.0;15167.0;10.393;0.296;13168.0;0.257;0.19;5.3;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-18;60217.0;3171.0;2143.571;1950.0;86.0;66.0;1174.603;61.854;41.813;38.037;1.678;1.287;1.34;;;;;;;;;548143.0;15361.0;10.692;0.3;13469.0;0.263;0.194;5.2;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-19;63276.0;3059.0;2345.429;2045.0;95.0;71.429;1234.272;59.669;45.75;39.89;1.853;1.393;1.33;;;;;;;;;565808.0;17665.0;11.037;0.345;14280.0;0.279;0.199;5.0;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-20;65633.0;2357.0;2412.429;2126.0;81.0;76.286;1280.248;45.976;47.057;41.47;1.58;1.488;1.32;;;;;;;;;583220.0;17412.0;11.376;0.34;15121.0;0.295;0.205;4.9;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-21;68652.0;3019.0;2530.429;2237.0;111.0;81.429;1339.137;58.889;49.359;43.635;2.165;1.588;1.31;;;;;;;;;601625.0;18405.0;11.735;0.359;15556.0;0.303;0.214;4.7;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;-256.7;-0.22;19.4;-5.007232789
COL;South America;Colombia;2020-06-22;71183.0;2531.0;2588.571;2310.0;73.0;83.429;1388.507;49.37;50.493;45.059;1.424;1.627;1.3;;;;;;;;;617596.0;15971.0;12.047;0.312;16052.0;0.313;0.217;4.6;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-23;73572.0;2389.0;2663.0;2404.0;94.0;86.143;1435.108;46.6;51.945;46.893;1.834;1.68;1.3;;;;;;;;;631467.0;13871.0;12.318;0.271;16265.0;0.317;0.222;4.5;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-24;77113.0;3541.0;2866.714;2491.0;87.0;89.571;1504.179;69.071;55.919;48.59;1.697;1.747;1.3;;;;;;;;;648828.0;17361.0;12.656;0.339;16578.0;0.323;0.226;4.4;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-25;80599.0;3486.0;2911.714;2654.0;163.0;100.571;1572.177;67.998;56.796;51.769;3.18;1.962;1.29;;;;;;;;;667211.0;18383.0;13.015;0.359;17010.0;0.332;0.235;4.3;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-26;84442.0;3843.0;3023.714;2811.0;157.0;109.429;1647.14;74.962;58.981;54.832;3.062;2.135;1.28;;;;;;;;;686028.0;18817.0;13.382;0.367;17174.0;0.335;0.24;4.2;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-27;88591.0;4149.0;3279.714;2939.0;128.0;116.143;1728.071;80.931;63.975;57.329;2.497;2.266;1.27;;;;;;;;;705150.0;19122.0;13.755;0.373;17419.0;0.34;0.256;3.9;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-28;91769.0;3178.0;3302.429;3178.0;239.0;134.429;1790.061;61.991;64.418;61.991;4.662;2.622;1.24;;;;;;;;;722711.0;17561.0;14.097;0.343;17298.0;0.337;0.256;3.9;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;985.6;0.8;25.27;19.22527712
COL;South America;Colombia;2020-06-29;95043.0;3274.0;3408.571;3274.0;96.0;137.714;1853.925;63.863;66.488;63.863;1.873;2.686;1.22;;;;;;;;;740309.0;17598.0;14.441;0.343;17530.0;0.342;0.261;3.8;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-06-30;97846.0;2803.0;3467.714;3334.0;60.0;132.857;1908.6;54.676;67.642;65.034;1.17;2.592;1.2;;;;;;;;;757517.0;17208.0;14.776;0.336;18007.0;0.351;0.26;3.8;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-07-01;102009.0;4163.0;3556.571;3470.0;136.0;139.857;1989.804;81.204;69.375;67.686;2.653;2.728;1.19;;;;;;;;;775536.0;18019.0;15.128;0.351;18101.0;0.353;0.268;3.7;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-07-02;106110.0;4101.0;3644.429;3641.0;171.0;141.0;2069.799;79.995;71.089;71.022;3.336;2.75;1.18;;;;;;;;;794644.0;19108.0;15.5;0.373;18205.0;0.355;0.265;3.8;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-07-03;109505.0;3395.0;3580.429;3777.0;136.0;138.0;2136.023;66.223;69.84;73.675;2.653;2.692;1.17;;;;;;;;;815162.0;20518.0;15.901;0.4;18448.0;0.36;0.267;3.7;tests performed;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
